engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_time
rele,basic,basic_simplematch,PASS,1,268,1,116,763,PASS,1,OK,404,2,148,572
libc,basic,basic_simplematch,PASS,1,748,19,1692,3357,PASS,1,OK,15276,41,6040,607
newlib,basic,basic_simplematch,PASS,1,372,5,415,5284,PASS,1,OK,372,6,431,2883
pcre2,basic,basic_simplematch,PASS,1,18744,2,205,1638,PASS,1,OK,18744,3,20685,687
re2,basic,basic_simplematch,PASS,1,3692,44,3650,18005,PASS,1,OK,4216,128,8366,1483
tre,basic,basic_simplematch,PASS,1,1220,25,5020,12203,PASS,1,OK,1232,27,5184,1015
slre,basic,basic_simplematch,PASS,1,40,0,0,256,PASS,1,OK,2892,0,0,1762
tiny-regex-c,basic,basic_simplematch,PASS,1,44,0,0,177,PASS,1,OK,112,0,0,460
subreg,basic,basic_simplematch,PASS,1,32,0,0,0,FAIL,0,FAIL,141,0,0,0
rele,basic,basic_groupmatch,PASS,1,208,1,136,1010,PASS,1,OK,404,2,176,630
libc,basic,basic_groupmatch,PASS,1,1176,25,1908,5284,PASS,1,OK,15352,49,6340,1459
newlib,basic,basic_groupmatch,PASS,1,372,4,411,5479,PASS,1,OK,372,5,443,3480
pcre2,basic,basic_groupmatch,PASS,1,18888,2,221,2292,PASS,1,OK,18888,3,20701,818
re2,basic,basic_groupmatch,PASS,1,3648,48,4022,23063,PASS,1,OK,4216,131,9046,1712
tre,basic,basic_groupmatch,PASS,1,1220,27,5092,15248,PASS,1,OK,1220,29,5256,1007
slre,basic,basic_groupmatch,PASS,1,40,0,0,243,PASS,1,OK,3036,0,0,2176
tiny-regex-c,basic,basic_groupmatch,PASS,1,44,0,0,0,FAIL,0,FAIL,97,0,0,0
subreg,basic,basic_groupmatch,PASS,1,32,0,0,0,FAIL,0,FAIL,221,0,0,0
rele,basic,basic_dotstar,PASS,1,280,1,156,968,PASS,1,OK,484,3,220,997
libc,basic,basic_dotstar,PASS,1,760,23,1900,4838,PASS,1,OK,15288,63,6636,859
newlib,basic,basic_dotstar,PASS,1,448,5,471,5967,PASS,1,OK,552,6,487,76828
pcre2,basic,basic_dotstar,PASS,1,18744,2,207,2327,PASS,1,OK,18744,3,20687,1570
re2,basic,basic_dotstar,PASS,1,3648,73,5842,38755,PASS,1,OK,4216,191,14353,1616
tre,basic,basic_dotstar,PASS,1,1220,28,5200,18000,PASS,1,OK,1232,30,5396,3470
slre,basic,basic_dotstar,PASS,1,40,0,0,267,PASS,1,OK,2980,0,0,6543
tiny-regex-c,basic,basic_dotstar,PASS,1,44,0,0,217,PASS,1,OK,192,0,0,1335
subreg,basic,basic_dotstar,PASS,1,32,0,0,0,FAIL,0,FAIL,141,0,0,0
