engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_time
rele,nasty,greedyvslazy1,PASS,1,260,1,193,962,PASS,1,OK,260,4,289,1341
libc,nasty,greedyvslazy1,PASS,1,748,22,1832,4084,PASS,1,OK,15276,45,5284,762
newlib,nasty,greedyvslazy1,PASS,1,472,5,465,5743,PASS,1,OK,552,6,481,33039
pcre2,nasty,greedyvslazy1,PASS,1,18744,2,205,1957,PASS,1,OK,18744,3,20685,956
re2,nasty,greedyvslazy1,PASS,1,3648,71,5620,39351,PASS,1,OK,4216,177,13278,1626
tre,nasty,greedyvslazy1,PASS,1,1232,26,5100,13637,PASS,1,OK,1232,28,5264,2250
slre,nasty,greedyvslazy1,PASS,1,40,0,0,257,PASS,1,OK,2980,0,0,3458
tiny-regex-c,nasty,greedyvslazy1,PASS,1,44,0,0,207,PASS,1,OK,192,0,0,724
subreg,nasty,greedyvslazy1,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,nasty,greedyvslazy2,PASS,1,200,1,193,958,PASS,1,OK,200,3,257,742
libc,nasty,greedyvslazy2,PASS,1,760,25,1940,0,FAIL,1,FAIL,15288,59,6604,0
newlib,nasty,greedyvslazy2,FAIL,0,316,3,407,0,FAIL,0,FAIL,0,0,0,0
pcre2,nasty,greedyvslazy2,PASS,1,18744,2,205,2035,PASS,1,OK,18744,3,20685,1150
re2,nasty,greedyvslazy2,PASS,1,3648,71,5620,39681,PASS,1,OK,4216,168,12634,1547
tre,nasty,greedyvslazy2,PASS,1,1232,30,5148,16036,PASS,1,OK,1232,32,5352,1530
slre,nasty,greedyvslazy2,PASS,1,40,0,0,254,PASS,1,OK,2980,0,0,1559
tiny-regex-c,nasty,greedyvslazy2,PASS,1,44,0,0,0,FAIL,0,FAIL,177,0,0,0
subreg,nasty,greedyvslazy2,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,nasty,catastrophic1,PASS,1,200,1,293,1590,PASS,1,OK,260,20,1053,96004
libc,nasty,catastrophic1,PASS,1,1096,103,4208,23177,PASS,1,OK,15288,200,10324,18642
newlib,nasty,catastrophic1,PASS,1,388,4,453,5800,PASS,1,OK,552,5,485,73645
pcre2,nasty,catastrophic1,PASS,1,18888,2,221,2924,PASS,1,OK,18888,3,20701,1165
re2,nasty,catastrophic1,PASS,1,3648,67,4404,27758,PASS,1,OK,3648,69,5196,2465
tre,nasty,catastrophic1,PASS,1,1232,32,5160,21379,PASS,1,OK,1232,34,5356,3578
slre,nasty,catastrophic1,PASS,1,40,0,0,262,PASS,1,OK,3212,0,0,3610
tiny-regex-c,nasty,catastrophic1,PASS,1,44,0,0,0,FAIL,0,FAIL,97,0,0,0
subreg,nasty,catastrophic1,PASS,1,32,0,0,204,PASS,1,OK,438,0,0,2655
rele,nasty,catastrophic2,PASS,1,260,1,235,1456,PASS,1,OK,200,7,475,13804
libc,nasty,catastrophic2,PASS,1,1224,73,3740,17075,PASS,1,OK,15288,178,11352,25109
newlib,nasty,catastrophic2,PASS,1,384,5,545,6682,PASS,1,OK,552,6,577,65303
pcre2,nasty,catastrophic2,PASS,1,18888,2,226,2982,PASS,1,OK,18888,3,20706,3810
re2,nasty,catastrophic2,PASS,1,3648,80,4826,35699,PASS,1,OK,4216,177,12866,6194
tre,nasty,catastrophic2,PASS,1,1232,39,6560,0,FAIL,1,FAIL,1232,41,6948,0
slre,nasty,catastrophic2,PASS,1,40,0,0,255,PASS,1,OK,3124,0,0,6056
tiny-regex-c,nasty,catastrophic2,PASS,1,44,0,0,0,FAIL,0,FAIL,97,0,0,0
subreg,nasty,catastrophic2,PASS,1,32,0,0,0,FAIL,0,FAIL,438,0,0,0
rele,nasty,optionalgroup,PASS,1,236,1,199,1305,PASS,1,OK,200,3,279,792
libc,nasty,optionalgroup,PASS,1,1232,44,2508,9599,PASS,1,OK,15288,120,9720,4410
