engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_time
rele,perf_nomatch,nomatch8,PASS,1,268,1,179,2682,PASS,0,FAIL,208,1,179,221
libc,perf_nomatch,nomatch8,PASS,1,748,52,6356,16444,PASS,0,FAIL,816,52,6356,480
newlib,perf_nomatch,nomatch8,PASS,1,352,7,1890,10188,PASS,0,FAIL,296,7,1890,213
pcre2,perf_nomatch,nomatch8,PASS,1,18744,2,252,5772,PASS,0,FAIL,18744,3,20732,331
re2,perf_nomatch,nomatch8,PASS,1,3800,67,14304,69024,PASS,0,FAIL,4216,118,21612,740
tre,perf_nomatch,nomatch8,PASS,1,1252,36,12120,64327,PASS,0,FAIL,1252,38,13020,1030
slre,perf_nomatch,nomatch8,PASS,1,40,0,0,270,PASS,0,FAIL,2892,0,0,3169
tiny-regex-c,perf_nomatch,nomatch8,PASS,1,44,0,0,609,PASS,0,FAIL,97,0,0,534
subreg,perf_nomatch,nomatch8,PASS,1,32,0,0,225,PASS,0,FAIL,278,0,0,1417
rele,perf_nomatch,nomatch16,PASS,1,208,1,179,2732,PASS,0,FAIL,208,1,179,237
libc,perf_nomatch,nomatch16,PASS,1,816,52,6356,16549,PASS,0,FAIL,15276,66,8572,712
newlib,perf_nomatch,nomatch16,PASS,1,352,7,1890,10427,PASS,0,FAIL,352,7,1890,234
pcre2,perf_nomatch,nomatch16,PASS,1,18744,2,252,5787,PASS,0,FAIL,18744,3,20732,363
re2,perf_nomatch,nomatch16,PASS,1,3740,67,14304,71263,PASS,0,FAIL,4216,117,21356,781
tre,perf_nomatch,nomatch16,PASS,1,1252,36,12120,63757,PASS,0,FAIL,1252,38,13020,1719
slre,perf_nomatch,nomatch16,PASS,1,40,0,0,270,PASS,0,FAIL,2892,0,0,4978
tiny-regex-c,perf_nomatch,nomatch16,PASS,1,44,0,0,601,PASS,0,FAIL,97,0,0,881
subreg,perf_nomatch,nomatch16,PASS,1,32,0,0,223,PASS,0,FAIL,278,0,0,1400
rele,perf_nomatch,nomatch32,PASS,1,208,1,179,2679,PASS,0,FAIL,356,1,179,385
libc,perf_nomatch,nomatch32,PASS,1,816,52,6356,16291,PASS,0,FAIL,816,52,6356,581
newlib,perf_nomatch,nomatch32,PASS,1,352,7,1890,10214,PASS,0,FAIL,352,7,1890,248
pcre2,perf_nomatch,nomatch32,PASS,1,18744,2,252,5719,PASS,0,FAIL,18744,3,20732,393
re2,perf_nomatch,nomatch32,PASS,1,3740,67,14304,70535,PASS,0,FAIL,4216,117,21356,778
tre,perf_nomatch,nomatch32,PASS,1,1252,36,12120,63652,PASS,0,FAIL,1252,38,13020,1087
slre,perf_nomatch,nomatch32,PASS,1,40,0,0,277,PASS,0,FAIL,2892,0,0,8389
tiny-regex-c,perf_nomatch,nomatch32,PASS,1,44,0,0,613,PASS,0,FAIL,97,0,0,1496
subreg,perf_nomatch,nomatch32,PASS,1,32,0,0,224,PASS,0,FAIL,278,0,0,1421
rele,perf_nomatch,nomatch64,PASS,1,208,1,179,2776,PASS,0,FAIL,356,1,179,430
libc,perf_nomatch,nomatch64,PASS,1,816,52,6356,16446,PASS,0,FAIL,816,52,6356,699
newlib,perf_nomatch,nomatch64,PASS,1,352,7,1890,10452,PASS,0,FAIL,352,7,1890,294
pcre2,perf_nomatch,nomatch64,PASS,1,18744,2,252,5749,PASS,0,FAIL,18744,3,20732,439
re2,perf_nomatch,nomatch64,PASS,1,3740,67,14304,71693,PASS,0,FAIL,4216,117,21356,836
tre,perf_nomatch,nomatch64,PASS,1,1252,36,12120,64707,PASS,0,FAIL,1252,38,13020,1092
slre,perf_nomatch,nomatch64,PASS,1,40,0,0,283,PASS,0,FAIL,2892,0,0,15249
tiny-regex-c,perf_nomatch,nomatch64,PASS,1,44,0,0,620,PASS,0,FAIL,97,0,0,2849
subreg,perf_nomatch,nomatch64,PASS,1,32,0,0,237,PASS,0,FAIL,278,0,0,1430
rele,perf_nomatch,nomatch128,PASS,1,208,1,179,2748,PASS,0,FAIL,356,1,179,489
libc,perf_nomatch,nomatch128,PASS,1,816,52,6356,16541,PASS,0,FAIL,15288,66,8572,1268
newlib,perf_nomatch,nomatch128,PASS,1,352,7,1890,10549,PASS,0,FAIL,352,7,1890,377
pcre2,perf_nomatch,nomatch128,PASS,1,18744,2,252,5785,PASS,0,FAIL,18744,3,20732,1015
re2,perf_nomatch,nomatch128,PASS,1,3740,67,14304,70541,PASS,0,FAIL,4216,117,21356,859
tre,perf_nomatch,nomatch128,PASS,1,1252,36,12120,63655,PASS,0,FAIL,1252,38,13020,8282
slre,perf_nomatch,nomatch128,PASS,1,40,0,0,282,PASS,0,FAIL,2892,0,0,28826
tiny-regex-c,perf_nomatch,nomatch128,PASS,1,44,0,0,620,PASS,0,FAIL,97,0,0,5459
subreg,perf_nomatch,nomatch128,PASS,1,32,0,0,228,PASS,0,FAIL,278,0,0,1416
rele,perf_nomatch,nomatch256,PASS,1,208,1,179,2760,PASS,0,FAIL,356,1,179,614
libc,perf_nomatch,nomatch256,PASS,1,816,52,6356,16370,PASS,0,FAIL,15288,66,8572,1916
newlib,perf_nomatch,nomatch256,PASS,1,352,7,1890,10503,PASS,0,FAIL,352,7,1890,509
pcre2,perf_nomatch,nomatch256,PASS,1,18744,2,252,5746,PASS,0,FAIL,18744,3,20732,1732
re2,perf_nomatch,nomatch256,PASS,1,3740,67,14304,70463,PASS,0,FAIL,4216,117,21356,985
tre,perf_nomatch,nomatch256,PASS,1,1252,36,12120,63611,PASS,0,FAIL,1252,38,13020,17194
slre,perf_nomatch,nomatch256,PASS,1,40,0,0,281,PASS,0,FAIL,2892,0,0,55183
tiny-regex-c,perf_nomatch,nomatch256,PASS,1,44,0,0,617,PASS,0,FAIL,97,0,0,10654
subreg,perf_nomatch,nomatch256,PASS,1,32,0,0,228,PASS,0,FAIL,278,0,0,1407
rele,perf_nomatch,nomatch512,PASS,1,208,1,179,2782,PASS,0,FAIL,404,1,179,858
libc,perf_nomatch,nomatch512,PASS,1,816,52,6356,16486,PASS,0,FAIL,15288,66,8572,3114
newlib,perf_nomatch,nomatch512,PASS,1,352,7,1890,10461,PASS,0,FAIL,352,7,1890,778
pcre2,perf_nomatch,nomatch512,PASS,1,18744,2,252,5742,PASS,0,FAIL,18744,3,20732,1406
re2,perf_nomatch,nomatch512,PASS,1,3740,67,14304,70571,PASS,0,FAIL,4216,117,21356,1171
tre,perf_nomatch,nomatch512,PASS,1,1252,36,12120,63661,PASS,0,FAIL,1252,38,13020,25309
slre,perf_nomatch,nomatch512,PASS,1,40,0,0,285,PASS,0,FAIL,2892,0,0,110233
tiny-regex-c,perf_nomatch,nomatch512,PASS,1,44,0,0,615,PASS,0,FAIL,97,0,0,20996
subreg,perf_nomatch,nomatch512,PASS,1,32,0,0,221,PASS,0,FAIL,278,0,0,1405
rele,perf_nomatch,nomatch1k,PASS,1,208,1,179,2758,PASS,0,FAIL,356,1,179,1298
libc,perf_nomatch,nomatch1k,PASS,1,816,52,6356,16323,PASS,0,FAIL,15288,66,8572,5864
newlib,perf_nomatch,nomatch1k,PASS,1,352,7,1890,10500,PASS,0,FAIL,352,7,1890,1299
pcre2,perf_nomatch,nomatch1k,PASS,1,18744,2,252,5761,PASS,0,FAIL,18744,3,20732,5293
re2,perf_nomatch,nomatch1k,PASS,1,3740,67,14304,71824,PASS,0,FAIL,4216,117,21356,1677
tre,perf_nomatch,nomatch1k,PASS,1,1252,36,12120,63667,PASS,0,FAIL,1252,38,13020,72063
slre,perf_nomatch,nomatch1k,PASS,1,40,0,0,283,PASS,0,FAIL,2892,0,0,221946
tiny-regex-c,perf_nomatch,nomatch1k,PASS,1,44,0,0,622,PASS,0,FAIL,97,0,0,41993
subreg,perf_nomatch,nomatch1k,PASS,1,32,0,0,218,PASS,0,FAIL,278,0,0,1409
rele,perf_nomatch,nomatch2k,PASS,1,208,1,179,2816,PASS,0,FAIL,356,1,179,2270
libc,perf_nomatch,nomatch2k,PASS,1,816,52,6356,16802,PASS,0,FAIL,15288,66,8572,10720
newlib,perf_nomatch,nomatch2k,PASS,1,352,7,1890,10535,PASS,0,FAIL,352,7,1890,2389
pcre2,perf_nomatch,nomatch2k,PASS,1,18744,2,252,5740,PASS,0,FAIL,18744,3,20732,9383
re2,perf_nomatch,nomatch2k,PASS,1,3740,67,14304,70529,PASS,0,FAIL,4216,117,21356,2396
tre,perf_nomatch,nomatch2k,PASS,1,1252,36,12120,63745,PASS,0,FAIL,1252,38,13020,156104
slre,perf_nomatch,nomatch2k,PASS,1,40,0,0,275,PASS,0,FAIL,2892,0,0,431373
tiny-regex-c,perf_nomatch,nomatch2k,PASS,1,44,0,0,617,PASS,0,FAIL,97,0,0,82962
