engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_time
rele,compilefail,trainlingbackslash,PASS,-3,200,0,0,0,FAIL,0,FAIL,0,0,0,0
libc,compilefail,trainlingbackslash,PASS,-5,748,5,1528,0,FAIL,0,FAIL,0,0,0,0
newlib,compilefail,trainlingbackslash,PASS,-5,292,3,395,0,FAIL,0,FAIL,0,0,0,0
pcre2,compilefail,trainlingbackslash,PASS,-101,18084,0,0,0,FAIL,0,FAIL,0,0,0,0
re2,compilefail,trainlingbackslash,PASS,-8,668,7,264,0,FAIL,0,FAIL,0,0,0,0
tre,compilefail,trainlingbackslash,PASS,-5,1220,6,3144,0,FAIL,0,FAIL,0,0,0,0
slre,compilefail,trainlingbackslash,FAIL,1,40,0,0,0,FAIL,0,FAIL,0,0,0,0
tiny-regex-c,compilefail,trainlingbackslash,FAIL,1,44,0,0,0,FAIL,0,FAIL,0,0,0,0
subreg,compilefail,trainlingbackslash,FAIL,1,32,0,0,0,FAIL,0,FAIL,0,0,0,0
rele,compilefail,unclosedset,PASS,-4,280,1,171,0,FAIL,0,FAIL,0,0,0,0
libc,compilefail,unclosedset,PASS,-7,760,7,1624,0,FAIL,0,FAIL,0,0,0,0
newlib,compilefail,unclosedset,PASS,-7,440,5,787,0,FAIL,0,FAIL,0,0,0,0
pcre2,compilefail,unclosedset,PASS,-106,18056,0,0,0,FAIL,0,FAIL,0,0,0,0
re2,compilefail,unclosedset,PASS,-5,772,11,364,0,FAIL,0,FAIL,0,0,0,0
tre,compilefail,unclosedset,PASS,-7,1220,7,3280,0,FAIL,0,FAIL,0,0,0,0
slre,compilefail,unclosedset,FAIL,1,40,0,0,0,FAIL,0,FAIL,0,0,0,0
tiny-regex-c,compilefail,unclosedset,PASS,0,44,0,0,0,FAIL,0,FAIL,0,0,0,0
subreg,compilefail,unclosedset,FAIL,1,32,0,0,0,FAIL,0,FAIL,0,0,0,0
rele,compilefail,unclosedgroup,PASS,-5,280,1,178,0,FAIL,0,FAIL,0,0,0,0
libc,compilefail,unclosedgroup,PASS,-8,1084,5,1544,0,FAIL,0,FAIL,0,0,0,0
newlib,compilefail,unclosedgroup,PASS,-8,372,3,423,0,FAIL,0,FAIL,0,0,0,0
pcre2,compilefail,unclosedgroup,PASS,-114,18056,0,0,0,FAIL,0,FAIL,0,0,0,0
re2,compilefail,unclosedgroup,PASS,-6,668,13,423,0,FAIL,0,FAIL,0,0,0,0
tre,compilefail,unclosedgroup,PASS,-8,1220,6,3152,0,FAIL,0,FAIL,0,0,0,0
slre,compilefail,unclosedgroup,FAIL,1,40,0,0,0,FAIL,0,FAIL,0,0,0,0
tiny-regex-c,compilefail,unclosedgroup,FAIL,1,44,0,0,0,FAIL,0,FAIL,0,0,0,0
subreg,compilefail,unclosedgroup,FAIL,1,32,0,0,0,FAIL,0,FAIL,0,0,0,0
rele,compilefail,invalidgroup,PASS,-5,208,1,176,0,FAIL,0,FAIL,0,0,0,0
libc,compilefail,invalidgroup,PASS,-6,1176,5,1552,0,FAIL,0,FAIL,0,0,0,0
newlib,compilefail,invalidgroup,FAIL,1,372,7,1488,0,FAIL,0,FAIL,0,0,0,0
pcre2,compilefail,invalidgroup,PASS,-115,18716,0,0,0,FAIL,0,FAIL,0,0,0,0
re2,compilefail,invalidgroup,PASS,-2,616,11,367,0,FAIL,0,FAIL,0,0,0,0
tre,compilefail,invalidgroup,PASS,-6,1220,6,3156,0,FAIL,0,FAIL,0,0,0,0
slre,compilefail,invalidgroup,FAIL,1,40,0,0,0,FAIL,0,FAIL,0,0,0,0
tiny-regex-c,compilefail,invalidgroup,FAIL,1,44,0,0,0,FAIL,0,FAIL,0,0,0,0
subreg,compilefail,invalidgroup,FAIL,1,32,0,0,0,FAIL,0,FAIL,0,0,0,0
rele,compilefail,closegroup,PASS,-5,280,1,221,0,FAIL,0,FAIL,0,0,0,0
libc,compilefail,closegroup,FAIL,1,1164,31,2268,0,FAIL,0,FAIL,0,0,0,0
newlib,compilefail,closegroup,PASS,-8,372,3,451,0,FAIL,0,FAIL,0,0,0,0
pcre2,compilefail,closegroup,PASS,-122,18056,0,0,0,FAIL,0,FAIL,0,0,0,0
re2,compilefail,closegroup,PASS,-7,696,17,487,0,FAIL,0,FAIL,0,0,0,0
tre,compilefail,closegroup,FAIL,1,1220,30,6652,0,FAIL,0,FAIL,0,0,0,0
slre,compilefail,closegroup,FAIL,1,40,0,0,0,FAIL,0,FAIL,0,0,0,0
tiny-regex-c,compilefail,closegroup,FAIL,1,44,0,0,0,FAIL,0,FAIL,0,0,0,0
subreg,compilefail,closegroup,FAIL,1,32,0,0,0,FAIL,0,FAIL,0,0,0,0
rele,compilefail,untermquote,PASS,-7,200,0,0,0,FAIL,0,FAIL,0,0,0,0
libc,compilefail,untermquote,FAIL,1,748,22,1912,0,FAIL,0,FAIL,0,0,0,0
newlib,compilefail,untermquote,FAIL,1,352,7,1506,0,FAIL,0,FAIL,0,0,0,0
pcre2,compilefail,untermquote,FAIL,1,18744,2,209,0,FAIL,0,FAIL,0,0,0,0
re2,compilefail,untermquote,FAIL,1,3692,46,4037,0,FAIL,0,FAIL,0,0,0,0
tre,compilefail,untermquote,FAIL,1,1220,25,5196,0,FAIL,0,FAIL,0,0,0,0
slre,compilefail,untermquote,FAIL,1,40,0,0,0,FAIL,0,FAIL,0,0,0,0
tiny-regex-c,compilefail,untermquote,FAIL,1,44,0,0,0,FAIL,0,FAIL,0,0,0,0
subreg,compilefail,untermquote,FAIL,1,32,0,0,0,FAIL,0,FAIL,0,0,0,0
rele,compilefail,massiverep,PASS,-2,200,0,0,0,FAIL,0,FAIL,0,0,0,0
libc,compilefail,massiverep,FAIL,1,131040,93077,115341852,0,FAIL,0,FAIL,0,0,0,0
newlib,compilefail,massiverep,PASS,-10,372,3,471,0,FAIL,0,FAIL,0,0,0,0
pcre2,compilefail,massiverep,FAIL,1,18888,2,50194,0,FAIL,0,FAIL,0,0,0,0
re2,compilefail,massiverep,PASS,-10,616,12,428,0,FAIL,0,FAIL,0,0,0,0
tre,compilefail,massiverep,PASS,-14,1232,6,3188,0,FAIL,0,FAIL,0,0,0,0
slre,compilefail,massiverep,FAIL,1,40,0,0,0,FAIL,0,FAIL,0,0,0,0
tiny-regex-c,compilefail,massiverep,FAIL,1,44,0,0,0,FAIL,0,FAIL,0,0,0,0
subreg,compilefail,massiverep,FAIL,1,32,0,0,0,FAIL,0,FAIL,0,0,0,0
rele,compilefail,wronghex,PASS,-9,200,0,0,0,FAIL,0,FAIL,0,0,0,0
libc,compilefail,wronghex,FAIL,1,760,19,1780,0,FAIL,0,FAIL,0,0,0,0
newlib,compilefail,wronghex,FAIL,1,292,4,403,0,FAIL,0,FAIL,0,0,0,0
pcre2,compilefail,wronghex,PASS,-178,18140,0,0,0,FAIL,0,FAIL,0,0,0,0
re2,compilefail,wronghex,PASS,-2,572,6,239,0,FAIL,0,FAIL,0,0,0,0
tre,compilefail,wronghex,FAIL,1,1232,25,5024,0,FAIL,0,FAIL,0,0,0,0
slre,compilefail,wronghex,FAIL,1,40,0,0,0,FAIL,0,FAIL,0,0,0,0
tiny-regex-c,compilefail,wronghex,FAIL,1,44,0,0,0,FAIL,0,FAIL,0,0,0,0
subreg,compilefail,wronghex,FAIL,1,32,0,0,0,FAIL,0,FAIL,0,0,0,0
rele,compilefail,iilegalplus,PASS,-3,200,0,0,0,FAIL,0,FAIL,0,0,0,0
libc,compilefail,iilegalplus,PASS,-13,1040,4,548,0,FAIL,0,FAIL,0,0,0,0
newlib,compilefail,iilegalplus,PASS,-13,344,3,399,0,FAIL,0,FAIL,0,0,0,0
pcre2,compilefail,iilegalplus,PASS,-109,18056,0,0,0,FAIL,0,FAIL,0,0,0,0
re2,compilefail,iilegalplus,PASS,-9,564,8,351,0,FAIL,0,FAIL,0,0,0,0
tre,compilefail,iilegalplus,FAIL,1,1232,29,5108,0,FAIL,0,FAIL,0,0,0,0
slre,compilefail,iilegalplus,FAIL,1,40,0,0,0,FAIL,0,FAIL,0,0,0,0
tiny-regex-c,compilefail,iilegalplus,FAIL,1,44,0,0,0,FAIL,0,FAIL,0,0,0,0
subreg,compilefail,iilegalplus,FAIL,1,32,0,0,0,FAIL,0,FAIL,0,0,0,0
