engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_time
rele,cox_a,coxa01,PASS,1,252,1,173,913,PASS,1,OK,260,3,237,564
libc,cox_a,coxa01,PASS,1,748,21,1764,3940,PASS,1,OK,15276,30,2912,568
newlib,cox_a,coxa01,PASS,1,452,6,461,6103,PASS,1,OK,464,7,477,5125
pcre2,cox_a,coxa01,PASS,1,18744,2,203,2302,PASS,1,OK,18744,3,20683,711
re2,cox_a,coxa01,PASS,1,3648,60,3862,24441,PASS,1,OK,4216,140,8258,1316
tre,cox_a,coxa01,PASS,1,1232,28,4996,12579,PASS,1,OK,1232,30,5128,789
slre,cox_a,coxa01,PASS,1,40,0,0,0,FAIL,0,FAIL,2980,0,0,0
tiny-regex-c,cox_a,coxa01,PASS,1,44,0,0,191,PASS,1,OK,184,0,0,249
subreg,cox_a,coxa01,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,cox_a,coxa02,PASS,1,264,1,235,1240,PASS,1,OK,200,5,363,1088
libc,cox_a,coxa02,PASS,1,808,26,2032,5653,PASS,1,OK,15280,45,4392,583
newlib,cox_a,coxa02,PASS,1,464,5,510,6516,PASS,1,OK,452,6,526,13636
pcre2,cox_a,coxa02,PASS,1,18744,2,207,3033,PASS,1,OK,18744,3,20687,1055
re2,cox_a,coxa02,PASS,1,3648,77,4724,34099,PASS,1,OK,4216,177,10102,1355
tre,cox_a,coxa02,PASS,1,1232,31,5260,20353,PASS,1,OK,1232,33,5456,1171
slre,cox_a,coxa02,PASS,1,40,0,0,0,FAIL,0,FAIL,2980,0,0,0
tiny-regex-c,cox_a,coxa02,PASS,1,44,0,0,233,PASS,1,OK,256,0,0,313
subreg,cox_a,coxa02,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,cox_a,coxa03,PASS,1,264,1,296,1594,PASS,1,OK,200,7,488,1965
libc,cox_a,coxa03,PASS,1,808,31,2364,7370,PASS,1,OK,15288,61,5976,597
newlib,cox_a,coxa03,PASS,1,464,5,571,7285,PASS,1,OK,464,6,587,26989
pcre2,cox_a,coxa03,PASS,1,18744,2,211,3818,PASS,1,OK,18744,3,20691,1732
re2,cox_a,coxa03,PASS,1,3648,88,5750,41715,PASS,1,OK,4216,203,12566,1357
tre,cox_a,coxa03,PASS,1,1232,36,6720,28963,PASS,1,OK,1232,38,6980,1800
slre,cox_a,coxa03,PASS,1,40,0,0,0,FAIL,0,FAIL,2980,0,0,0
tiny-regex-c,cox_a,coxa03,PASS,1,44,0,0,270,PASS,1,OK,328,0,0,379
subreg,cox_a,coxa03,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,cox_a,coxa04,PASS,1,264,1,357,1970,PASS,1,OK,260,9,613,3327
libc,cox_a,coxa04,PASS,1,828,36,2616,9024,PASS,1,OK,15288,80,7640,616
newlib,cox_a,coxa04,PASS,1,464,8,1716,9799,PASS,1,OK,464,9,1732,46581
pcre2,cox_a,coxa04,PASS,1,18744,2,215,4571,PASS,1,OK,18744,3,20695,3156
re2,cox_a,coxa04,PASS,1,3648,97,6280,49191,PASS,1,OK,4216,227,14330,1354
tre,cox_a,coxa04,PASS,1,1232,41,8792,38303,PASS,1,OK,1232,43,9116,2738
slre,cox_a,coxa04,PASS,1,40,0,0,0,FAIL,0,FAIL,2980,0,0,0
tiny-regex-c,cox_a,coxa04,PASS,1,44,0,0,303,PASS,1,OK,400,0,0,435
subreg,cox_a,coxa04,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,cox_a,coxa05,PASS,1,264,1,418,2294,PASS,1,OK,260,11,738,5505
libc,cox_a,coxa05,PASS,1,932,41,2884,11044,PASS,1,OK,15288,96,9536,621
newlib,cox_a,coxa05,PASS,1,504,8,1773,10031,PASS,1,OK,504,9,1789,74103
pcre2,cox_a,coxa05,PASS,1,18744,2,219,5317,PASS,1,OK,18744,3,20699,5965
re2,cox_a,coxa05,PASS,1,3648,108,7098,56259,PASS,1,OK,4216,255,16706,1355
tre,cox_a,coxa05,PASS,1,1232,46,9780,46069,PASS,1,OK,1232,48,10168,4040
slre,cox_a,coxa05,PASS,1,40,0,0,0,FAIL,0,FAIL,2980,0,0,0
tiny-regex-c,cox_a,coxa05,PASS,1,44,0,0,328,PASS,1,OK,472,0,0,487
subreg,cox_a,coxa05,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,cox_a,coxa06,PASS,1,192,1,479,2588,PASS,1,OK,272,13,863,8487
libc,cox_a,coxa06,PASS,1,1036,46,3360,12485,PASS,1,OK,15280,115,11704,633
newlib,cox_a,coxa06,PASS,1,464,8,1866,10951,PASS,1,OK,464,10,2034,107422
pcre2,cox_a,coxa06,PASS,1,18744,2,223,5928,PASS,1,OK,18744,3,20703,12141
re2,cox_a,coxa06,PASS,1,3648,120,7858,64762,PASS,1,OK,4216,281,18676,1381
tre,cox_a,coxa06,PASS,1,1232,51,11220,54989,PASS,1,OK,1232,53,11672,5873
slre,cox_a,coxa06,PASS,1,40,0,0,0,FAIL,0,FAIL,2980,0,0,0
tiny-regex-c,cox_a,coxa06,PASS,1,44,0,0,377,PASS,1,OK,544,0,0,546
subreg,cox_a,coxa06,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,cox_a,coxa07,PASS,1,320,1,540,3107,PASS,1,OK,272,15,988,12751
libc,cox_a,coxa07,PASS,1,1140,52,4656,14957,PASS,1,OK,15280,133,14764,651
newlib,cox_a,coxa07,PASS,1,488,8,1935,11610,PASS,1,OK,488,10,2127,147305
pcre2,cox_a,coxa07,PASS,1,18744,2,227,6631,PASS,1,OK,18744,3,20707,25301
re2,cox_a,coxa07,PASS,1,3648,130,8874,74351,PASS,1,OK,4216,306,21466,1402
tre,cox_a,coxa07,PASS,1,1220,56,12984,65126,PASS,1,OK,1220,58,13500,8311
slre,cox_a,coxa07,PASS,1,40,0,0,0,FAIL,0,FAIL,2980,0,0,0
tiny-regex-c,cox_a,coxa07,PASS,1,44,0,0,419,PASS,1,OK,616,0,0,608
subreg,cox_a,coxa07,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,cox_a,coxa08,PASS,1,320,1,601,3332,PASS,1,OK,272,17,1113,17913
libc,cox_a,coxa08,PASS,1,1256,57,4972,16798,PASS,1,OK,15288,156,17508,677
newlib,cox_a,coxa08,PASS,1,504,8,2028,12033,PASS,1,OK,504,10,2244,207001
pcre2,cox_a,coxa08,PASS,1,18744,2,231,7381,PASS,1,OK,18744,3,20711,50856
re2,cox_a,coxa08,PASS,1,3648,139,9410,80745,PASS,1,OK,4216,330,23764,1428
tre,cox_a,coxa08,PASS,1,1228,59,14872,74045,PASS,1,OK,1228,61,15452,11506
slre,cox_a,coxa08,PASS,1,40,0,0,0,FAIL,0,FAIL,2980,0,0,0
tiny-regex-c,cox_a,coxa08,PASS,1,44,0,0,453,PASS,1,OK,688,0,0,660
subreg,cox_a,coxa08,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,cox_a,coxa09,PASS,1,320,1,662,3679,PASS,1,OK,272,19,1238,24930
libc,cox_a,coxa09,PASS,1,1360,62,5304,18653,PASS,1,OK,15288,177,19868,678
newlib,cox_a,coxa09,PASS,1,448,8,2085,12709,PASS,1,OK,452,10,2325,266531
pcre2,cox_a,coxa09,PASS,1,18744,2,235,8075,PASS,1,OK,18744,3,20715,106498
re2,cox_a,coxa09,PASS,1,3648,150,10074,90213,PASS,1,OK,4216,355,25890,1430
tre,cox_a,coxa09,PASS,1,1228,64,16868,83974,PASS,1,OK,1228,66,17512,15049
slre,cox_a,coxa09,PASS,1,40,0,0,0,FAIL,0,FAIL,2980,0,0,0
tiny-regex-c,cox_a,coxa09,PASS,1,44,0,0,487,PASS,1,OK,760,0,0,712
