Hello!
engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_timerele,caseless,simpleicase,PASS,1,252,1,116,716,PASS,1,OK,260,2,148,527
libc,caseless,simpleicase,PASS,1,748,20,1696,3606,PASS,1,OK,15276,43,6049,878
newlib,caseless,simpleicase,PASS,1,484,6,795,25703,PASS,1,OK,424,7,811,3959
PCRE2,caseless,simpleicase,PASS,1,18744,2,205,1747,PASS,1,OK,18744,3,20685,838
re2,caseless,simpleicase,PASS,1,3692,59,6062,27367,PASS,1,OK,4216,144,10794,1507
tre,caseless,simpleicase,PASS,1,1220,28,6480,20812,PASS,1,OK,1232,30,6740,1982
slre,caseless,simpleicase,PASS,1,40,0,0,261,PASS,1,OK,2892,0,0,2295
tiny-regex-c,caseless,simpleicase,PASS,1,44,0,0,0,FAIL,0,FAIL,97,0,0,0
subreg,caseless,simpleicase,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,caseless,groupmatchicase,PASS,1,264,1,176,1260,PASS,1,OK,200,2,216,690
libc,caseless,groupmatchicase,PASS,1,1224,36,2148,7886,PASS,1,OK,15340,117,7463,9933
newlib,caseless,groupmatchicase,PASS,1,504,6,809,0,FAIL,0,FAIL,504,6,809,0
PCRE2,caseless,groupmatchicase,PASS,1,18888,2,225,2886,PASS,1,OK,18888,3,20705,911
re2,caseless,groupmatchicase,FAIL,0,688,24,715,0,FAIL,0,FAIL,0,0,0,0
tre,caseless,groupmatchicase,PASS,1,1232,34,7704,0,FAIL,0,FAIL,1232,41,8824,0
slre,caseless,groupmatchicase,PASS,1,40,0,0,0,FAIL,0,FAIL,2560,0,0,0
tiny-regex-c,caseless,groupmatchicase,PASS,1,44,0,0,0,FAIL,0,FAIL,97,0,0,0
subreg,caseless,groupmatchicase,PASS,1,32,0,0,0,FAIL,0,FAIL,438,0,0,0
rele,caseless,groupmatchicase2,PASS,1,192,1,176,1254,PASS,1,OK,200,2,216,684
libc,caseless,groupmatchicase2,PASS,1,1224,36,2148,7839,PASS,1,OK,15352,117,7463,9899
newlib,caseless,groupmatchicase2,PASS,1,504,6,809,0,FAIL,0,FAIL,504,6,809,0
PCRE2,caseless,groupmatchicase2,PASS,1,18888,2,225,2876,PASS,1,OK,18888,3,20705,901
re2,caseless,groupmatchicase2,FAIL,0,688,24,715,0,FAIL,0,FAIL,0,0,0,0
tre,caseless,groupmatchicase2,PASS,1,1232,34,7704,0,FAIL,0,FAIL,1232,41,8824,0
slre,caseless,groupmatchicase2,PASS,1,40,0,0,0,FAIL,0,FAIL,2560,0,0,0
tiny-regex-c,caseless,groupmatchicase2,PASS,1,44,0,0,0,FAIL,0,FAIL,97,0,0,0
subreg,caseless,groupmatchicase2,PASS,1,32,0,0,0,FAIL,0,FAIL,438,0,0,0
rele,multiline,multiline1,PASS,1,192,1,257,1457,PASS,1,OK,200,4,353,6405
libc,multiline,multiline1,PASS,1,816,62,3376,13843,PASS,1,OK,15288,142,12932,3066
newlib,multiline,multiline1,PASS,1,400,9,1904,14020,PASS,1,OK,552,10,1920,119686
PCRE2,multiline,multiline1,PASS,1,18744,2,211,2963,PASS,1,OK,18744,3,20691,3019
re2,multiline,multiline1,PASS,1,3648,75,6236,48063,PASS,1,OK,4216,203,16482,1692
tre,multiline,multiline1,PASS,1,1220,36,7604,31158,PASS,1,OK,1220,38,7864,6794
slre,multiline,multiline1,PASS,1,40,0,0,0,FAIL,0,FAIL,2980,0,0,0
tiny-regex-c,multiline,multiline1,PASS,1,44,0,0,0,FAIL,0,FAIL,177,0,0,0
subreg,multiline,multiline1,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,multiline,matchacross,PASS,1,252,1,199,1240,PASS,1,OK,492,4,295,2333
libc,multiline,matchacross,PASS,1,808,26,2104,6171,PASS,1,OK,15288,88,10220,1955
newlib,multiline,matchacross,PASS,1,316,4,459,6253,PASS,1,OK,552,5,475,322748
PCRE2,multiline,matchacross,PASS,1,18744,2,213,2834,PASS,1,OK,18744,3,20693,3612
re2,multiline,matchacross,PASS,1,3648,76,6236,48786,PASS,1,OK,4216,224,17864,2581
tre,multiline,matchacross,PASS,1,1220,28,6468,22714,PASS,1,OK,1220,30,6760,11258
slre,multiline,matchacross,PASS,1,40,0,0,263,PASS,1,OK,2980,0,0,25206
tiny-regex-c,multiline,matchacross,PASS,1,44,0,0,251,PASS,1,OK,192,0,0,4235
subreg,multiline,matchacross,PASS,1,32,0,0,0,FAIL,0,FAIL,278,0,0,0
rele,nextmatch,nm1,PASS,1,192,1,153,783,PASS,1,OK,200,3,217,2049804
libc,nextmatch,nm1,PASS,1,748,48,2532,9172,PASS,1,OK,15280,56,4700,15152241
newlib,nextmatch,nm1,PASS,1,492,5,459,5988,PASS,1,OK,552,6,475,716859684
PCRE2,nextmatch,nm1,PASS,1,18600,2,202,1898,PASS,1,OK,18600,3,20682,2079173
re2,nextmatch,nm1,PASS,1,3648,75,5616,36979,PASS,1,OK,4216,145,10695,2095125
tre,nextmatch,nm1,PASS,1,1220,29,4708,13450,PASS,1,OK,1220,31,4808,24214099
slre,nextmatch,nm1,PASS,1,40,0,0,253,PASS,1,OK,2980,0,0,42417517
