engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_time
rele,performance,fullmatch8,PASS,1,268,1,153,865,PASS,1,OK,252,3,217,509
libc,performance,fullmatch8,PASS,1,748,48,2532,9011,PASS,1,OK,15264,56,4700,1300
newlib,performance,fullmatch8,PASS,1,468,5,459,5888,PASS,1,OK,552,6,475,27785
pcre2,performance,fullmatch8,PASS,1,18600,2,202,1763,PASS,1,OK,18600,3,20682,702
re2,performance,fullmatch8,PASS,1,3692,75,5616,35637,PASS,1,OK,4216,146,10951,864
tre,performance,fullmatch8,PASS,1,1220,29,4708,13435,PASS,1,OK,1232,31,4808,1510
slre,performance,fullmatch8,PASS,1,40,0,0,249,PASS,1,OK,2980,0,0,2196
tiny-regex-c,performance,fullmatch8,PASS,1,44,0,0,207,PASS,1,OK,153,0,0,450
subreg,performance,fullmatch8,PASS,1,32,0,0,205,PASS,1,OK,276,0,0,1334
rele,performance,fullmatch16,PASS,1,208,1,153,861,PASS,1,OK,208,3,217,588
libc,performance,fullmatch16,PASS,1,808,48,2532,9343,PASS,1,OK,15280,56,4700,1910
newlib,performance,fullmatch16,PASS,1,492,5,459,6090,PASS,1,OK,552,6,475,52717
pcre2,performance,fullmatch16,PASS,1,18600,2,202,1811,PASS,1,OK,18600,3,20682,792
re2,performance,fullmatch16,PASS,1,3648,75,5616,36535,PASS,1,OK,4216,145,10695,942
tre,performance,fullmatch16,PASS,1,1220,29,4708,13627,PASS,1,OK,1220,31,4808,2365
slre,performance,fullmatch16,PASS,1,40,0,0,262,PASS,1,OK,2980,0,0,3570
tiny-regex-c,performance,fullmatch16,PASS,1,44,0,0,203,PASS,1,OK,153,0,0,660
subreg,performance,fullmatch16,PASS,1,32,0,0,199,PASS,1,OK,276,0,0,2033
rele,performance,fullmatch32,PASS,1,208,1,153,862,PASS,1,OK,208,3,217,699
libc,performance,fullmatch32,PASS,1,808,48,2532,9621,PASS,1,OK,15280,56,4700,3040
newlib,performance,fullmatch32,PASS,1,488,5,459,5987,PASS,1,OK,552,6,475,102495
pcre2,performance,fullmatch32,PASS,1,18600,2,202,1809,PASS,1,OK,18600,3,20682,914
re2,performance,fullmatch32,PASS,1,3648,75,5616,39214,PASS,1,OK,4216,145,10695,1116
tre,performance,fullmatch32,PASS,1,1220,29,4708,13620,PASS,1,OK,1220,31,4808,4025
slre,performance,fullmatch32,PASS,1,40,0,0,260,PASS,1,OK,2980,0,0,6247
tiny-regex-c,performance,fullmatch32,PASS,1,44,0,0,212,PASS,1,OK,153,0,0,1091
subreg,performance,fullmatch32,PASS,1,32,0,0,208,PASS,1,OK,276,0,0,3432
rele,performance,fullmatch64,PASS,1,208,1,153,868,PASS,1,OK,208,3,217,949
libc,performance,fullmatch64,PASS,1,808,48,2532,9282,PASS,1,OK,15280,56,4700,5251
newlib,performance,fullmatch64,PASS,1,492,5,459,6077,PASS,1,OK,552,6,475,192795
pcre2,performance,fullmatch64,PASS,1,18600,2,202,1822,PASS,1,OK,18600,3,20682,1174
re2,performance,fullmatch64,PASS,1,3648,75,5616,36823,PASS,1,OK,4216,145,10695,1328
tre,performance,fullmatch64,PASS,1,1220,29,4708,13742,PASS,1,OK,1220,31,4808,7367
slre,performance,fullmatch64,PASS,1,40,0,0,261,PASS,1,OK,2980,0,0,11680
tiny-regex-c,performance,fullmatch64,PASS,1,44,0,0,207,PASS,1,OK,153,0,0,1943
subreg,performance,fullmatch64,PASS,1,32,0,0,204,PASS,1,OK,276,0,0,6237
rele,performance,fullmatch128,PASS,1,208,1,153,864,PASS,1,OK,208,3,217,1445
libc,performance,fullmatch128,PASS,1,808,48,2532,9439,PASS,1,OK,15280,56,4700,9689
newlib,performance,fullmatch128,PASS,1,492,5,459,6051,PASS,1,OK,552,6,475,383849
pcre2,performance,fullmatch128,PASS,1,18600,2,202,1796,PASS,1,OK,18600,3,20682,1664
re2,performance,fullmatch128,PASS,1,3648,75,5616,36763,PASS,1,OK,4216,145,10695,1812
tre,performance,fullmatch128,PASS,1,1220,29,4708,13606,PASS,1,OK,1220,31,4808,13941
slre,performance,fullmatch128,PASS,1,40,0,0,262,PASS,1,OK,2980,0,0,22072
tiny-regex-c,performance,fullmatch128,PASS,1,44,0,0,211,PASS,1,OK,153,0,0,3647
subreg,performance,fullmatch128,PASS,1,32,0,0,203,PASS,1,OK,276,0,0,11805
rele,performance,fullmatch256,PASS,1,208,1,153,853,PASS,1,OK,208,3,217,2407
libc,performance,fullmatch256,PASS,1,808,48,2532,9434,PASS,1,OK,15280,56,4700,18416
newlib,performance,fullmatch256,PASS,1,492,5,459,6085,PASS,1,OK,552,6,475,770023
pcre2,performance,fullmatch256,PASS,1,18600,2,202,1803,PASS,1,OK,18600,3,20682,2662
re2,performance,fullmatch256,PASS,1,3648,75,5616,36317,PASS,1,OK,4216,145,10695,2846
tre,performance,fullmatch256,PASS,1,1220,29,4708,13585,PASS,1,OK,1220,31,4808,27112
slre,performance,fullmatch256,PASS,1,40,0,0,259,PASS,1,OK,2980,0,0,43543
tiny-regex-c,performance,fullmatch256,PASS,1,44,0,0,210,PASS,1,OK,153,0,0,7037
subreg,performance,fullmatch256,PASS,1,32,0,0,199,PASS,1,OK,276,0,0,22892
rele,performance,fullmatch512,PASS,1,208,1,153,863,PASS,1,OK,208,3,217,4347
libc,performance,fullmatch512,PASS,1,808,48,2532,9376,PASS,1,OK,15280,56,4700,35802
newlib,performance,fullmatch512,PASS,1,492,5,459,6060,PASS,1,OK,552,6,475,1487969
pcre2,performance,fullmatch512,PASS,1,18600,2,202,1802,PASS,1,OK,18600,3,20682,4642
re2,performance,fullmatch512,PASS,1,3648,75,5616,36519,PASS,1,OK,4216,145,10695,4717
tre,performance,fullmatch512,PASS,1,1220,29,4708,13637,PASS,1,OK,1220,31,4808,53291
slre,performance,fullmatch512,PASS,1,40,0,0,253,PASS,1,OK,2980,0,0,85306
tiny-regex-c,performance,fullmatch512,PASS,1,44,0,0,208,PASS,1,OK,153,0,0,13811
subreg,performance,fullmatch512,PASS,1,32,0,0,201,PASS,1,OK,276,0,0,45570
rele,performance,fullmatch1k,PASS,1,208,1,153,860,PASS,1,OK,208,3,217,8312
libc,performance,fullmatch1k,PASS,1,808,48,2532,9289,PASS,1,OK,15280,56,4700,70833
newlib,performance,fullmatch1k,PASS,1,492,5,459,6070,PASS,1,OK,552,6,475,2988194
pcre2,performance,fullmatch1k,PASS,1,18600,2,202,1810,PASS,1,OK,18600,3,20682,8611
re2,performance,fullmatch1k,PASS,1,3648,75,5616,37173,PASS,1,OK,4216,145,10695,8730
tre,performance,fullmatch1k,PASS,1,1220,29,4708,13611,PASS,1,OK,1220,31,4808,105967
slre,performance,fullmatch1k,PASS,1,40,0,0,260,PASS,1,OK,2980,0,0,170844
tiny-regex-c,performance,fullmatch1k,PASS,1,44,0,0,212,PASS,1,OK,153,0,0,27545
subreg,performance,fullmatch1k,PASS,1,32,0,0,199,PASS,1,OK,276,0,0,90353
rele,performance,fullmatch2k,PASS,1,208,1,153,858,PASS,1,OK,208,3,217,16210
libc,performance,fullmatch2k,PASS,1,808,48,2532,9277,PASS,1,OK,15280,56,4700,141003
newlib,performance,fullmatch2k,PASS,1,492,5,459,6076,PASS,1,OK,552,6,475,5959278
pcre2,performance,fullmatch2k,PASS,1,18600,2,202,1811,PASS,1,OK,18600,3,20682,16556
re2,performance,fullmatch2k,PASS,1,3648,75,5616,36293,PASS,1,OK,4216,145,10695,16795
tre,performance,fullmatch2k,PASS,1,1220,29,4708,13598,PASS,1,OK,1220,31,4808,211019
slre,performance,fullmatch2k,PASS,1,40,0,0,257,PASS,1,OK,2980,0,0,339970
tiny-regex-c,performance,fullmatch2k,PASS,1,44,0,0,207,PASS,1,OK,153,0,0,54823
subreg,performance,fullmatch2k,PASS,1,32,0,0,204,PASS,1,OK,276,0,0,181963
rele,performance,fullmatch4k,PASS,1,208,1,153,868,PASS,1,OK,208,3,217,31711
libc,performance,fullmatch4k,PASS,1,808,48,2532,9307,PASS,1,OK,15280,56,4700,279585
newlib,performance,fullmatch4k,PASS,1,492,5,459,6077,PASS,1,OK,552,6,475,11860902
pcre2,performance,fullmatch4k,PASS,1,18600,2,202,1816,PASS,1,OK,18600,3,20682,32338
re2,performance,fullmatch4k,PASS,1,3648,75,5616,36154,PASS,1,OK,4216,145,10695,32803
tre,performance,fullmatch4k,PASS,1,1220,29,4708,13623,PASS,1,OK,1220,31,4808,422723
slre,performance,fullmatch4k,PASS,1,40,0,0,261,PASS,1,OK,2980,0,0,686638
tiny-regex-c,performance,fullmatch4k,PASS,1,44,0,0,213,PASS,1,OK,153,0,0,109764
subreg,performance,fullmatch4k,PASS,1,32,0,0,204,PASS,1,OK,276,0,0,357966
rele,performance,fullmatch8k,PASS,1,208,1,153,859,PASS,1,OK,208,3,217,62331
libc,performance,fullmatch8k,PASS,1,808,48,2532,9213,PASS,1,OK,15280,56,4700,557597
newlib,performance,fullmatch8k,PASS,1,492,5,459,6085,PASS,1,OK,552,6,475,23755538
pcre2,performance,fullmatch8k,PASS,1,18600,2,202,1810,PASS,1,OK,18600,3,20682,64163
re2,performance,fullmatch8k,PASS,1,3648,75,5616,36455,PASS,1,OK,4216,145,10695,63666
tre,performance,fullmatch8k,PASS,1,1220,29,4708,13642,PASS,1,OK,1220,31,4808,841068
slre,performance,fullmatch8k,PASS,1,40,0,0,257,PASS,1,OK,2980,0,0,1364864
tiny-regex-c,performance,fullmatch8k,PASS,1,44,0,0,213,PASS,1,OK,153,0,0,220089
subreg,performance,fullmatch8k,PASS,1,32,0,0,205,PASS,1,OK,276,0,0,725624
rele,performance,fullmatch16k,PASS,1,208,1,153,859,PASS,1,OK,208,3,217,125974
libc,performance,fullmatch16k,PASS,1,808,48,2532,9304,PASS,1,OK,15280,56,4700,1120573
newlib,performance,fullmatch16k,PASS,1,492,5,459,6121,PASS,1,OK,552,6,475,47603523
pcre2,performance,fullmatch16k,PASS,1,18600,2,202,1805,PASS,1,OK,18600,3,20682,128046
re2,performance,fullmatch16k,PASS,1,3648,75,5616,36280,PASS,1,OK,4216,145,10695,127818
tre,performance,fullmatch16k,PASS,1,1220,29,4708,13583,PASS,1,OK,1220,31,4808,1680808
slre,performance,fullmatch16k,PASS,1,40,0,0,255,PASS,1,OK,2980,0,0,2726172
tiny-regex-c,performance,fullmatch16k,PASS,1,44,0,0,212,PASS,1,OK,153,0,0,433423
subreg,performance,fullmatch16k,PASS,1,32,0,0,200,PASS,1,OK,276,0,0,1429605
rele,performance,fullmatch32k,PASS,1,208,1,153,860,PASS,1,OK,208,3,217,250386
libc,performance,fullmatch32k,PASS,1,808,48,2532,9312,PASS,1,OK,15280,56,4700,2227601
newlib,performance,fullmatch32k,PASS,1,504,5,459,6058,PASS,1,OK,552,6,475,95455153
pcre2,performance,fullmatch32k,PASS,1,18600,2,202,1797,PASS,1,OK,18600,3,20682,260650
re2,performance,fullmatch32k,PASS,1,3648,75,5616,36329,PASS,1,OK,4216,145,10695,253806
tre,performance,fullmatch32k,PASS,1,1220,29,4708,13548,PASS,1,OK,1220,31,4808,3354793
slre,performance,fullmatch32k,PASS,1,40,0,0,261,PASS,1,OK,2980,0,0,5425314
tiny-regex-c,performance,fullmatch32k,PASS,1,44,0,0,209,PASS,1,OK,153,0,0,869379
subreg,performance,fullmatch32k,PASS,1,32,0,0,200,PASS,1,OK,276,0,0,2877215
rele,performance,fullmatch64k,PASS,1,208,1,153,864,PASS,1,OK,208,3,217,505614
libc,performance,fullmatch64k,PASS,1,808,48,2532,9331,PASS,1,OK,15280,56,4700,4459217
newlib,performance,fullmatch64k,PASS,1,492,5,459,6047,PASS,1,OK,552,6,475,188515755
pcre2,performance,fullmatch64k,PASS,1,18600,2,202,1813,PASS,1,OK,18600,3,20682,530867
re2,performance,fullmatch64k,PASS,1,3648,75,5616,36201,PASS,1,OK,4216,145,10695,510181
tre,performance,fullmatch64k,PASS,1,1220,29,4708,13597,PASS,1,OK,1220,31,4808,6759878
slre,performance,fullmatch64k,PASS,1,40,0,0,261,PASS,1,OK,2980,0,0,10945985
tiny-regex-c,performance,fullmatch64k,PASS,1,44,0,0,215,PASS,1,OK,153,0,0,1752492
subreg,performance,fullmatch64k,PASS,1,32,0,0,204,PASS,1,OK,276,0,0,5768347
rele,performance,fullmatch128k,PASS,1,208,1,153,854,PASS,1,OK,208,3,217,1001126
libc,performance,fullmatch128k,PASS,1,808,48,2532,9118,PASS,1,OK,15280,56,4700,8919258
newlib,performance,fullmatch128k,PASS,1,492,5,459,6072,PASS,1,OK,552,6,475,376385963
pcre2,performance,fullmatch128k,PASS,1,18600,2,202,1799,PASS,1,OK,18600,3,20682,1089093
re2,performance,fullmatch128k,PASS,1,3648,75,5616,37467,PASS,1,OK,4216,145,10695,1075351
tre,performance,fullmatch128k,PASS,1,1220,29,4708,13778,PASS,1,OK,1220,31,4808,13585388
slre,performance,fullmatch128k,PASS,1,40,0,0,261,PASS,1,OK,2980,0,0,21786102
tiny-regex-c,performance,fullmatch128k,PASS,1,44,0,0,214,PASS,1,OK,153,0,0,3519712
subreg,performance,fullmatch128k,PASS,1,32,0,0,204,PASS,1,OK,276,0,0,11464548
rele,performance,fullmatch256k,PASS,1,208,1,153,856,PASS,1,OK,208,3,217,2056935
libc,performance,fullmatch256k,PASS,1,808,48,2532,9151,PASS,1,OK,15280,56,4700,17747394
newlib,performance,fullmatch256k,PASS,1,492,5,459,6085,PASS,1,OK,552,6,475,771550512
pcre2,performance,fullmatch256k,PASS,1,18600,2,202,1808,PASS,1,OK,18600,3,20682,2087730
re2,performance,fullmatch256k,PASS,1,3648,75,5616,36389,PASS,1,OK,4216,145,10695,2094055
tre,performance,fullmatch256k,PASS,1,1220,29,4708,13519,PASS,1,OK,1220,31,4808,26884214
slre,performance,fullmatch256k,PASS,1,40,0,0,257,PASS,1,OK,2980,0,0,43889502
tiny-regex-c,performance,fullmatch256k,PASS,1,44,0,0,207,PASS,1,OK,153,0,0,7035507
subreg,performance,fullmatch256k,PASS,1,32,0,0,199,PASS,1,OK,276,0,0,22894428
