engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_time
rele,perf_phone,phone8,PASS,1,268,1,573,4879,PASS,1,OK,268,3,669,5735
libc,perf_phone,phone8,PASS,1,1252,88,5744,0,FAIL,0,FAIL,15276,108,8140,0
newlib,perf_phone,phone8,PASS,1,600,16,3832,0,FAIL,0,FAIL,616,16,3832,0
pcre2,perf_phone,phone8,PASS,1,18888,2,260,7209,PASS,1,OK,18888,3,20740,1771
re2,perf_phone,phone8,PASS,1,3760,168,11558,98096,PASS,1,OK,4216,385,29092,1959
tre,perf_phone,phone8,PASS,1,2268,49,12792,86518,PASS,1,OK,2268,51,13972,5957
slre,perf_phone,phone8,PASS,1,40,0,0,0,FAIL,0,FAIL,3036,0,0,0
tiny-regex-c,perf_phone,phone8,PASS,1,44,0,0,0,FAIL,0,FAIL,113,0,0,0
subreg,perf_phone,phone8,PASS,1,32,0,0,0,FAIL,0,FAIL,236,0,0,0
rele,perf_phone,phone16,PASS,1,336,1,573,4880,PASS,1,OK,280,3,669,9058
libc,perf_phone,phone16,PASS,1,1236,88,5744,0,FAIL,0,FAIL,15288,108,8152,0
newlib,perf_phone,phone16,PASS,1,616,16,3832,0,FAIL,0,FAIL,604,16,3832,0
pcre2,perf_phone,phone16,PASS,1,18888,2,260,7188,PASS,1,OK,18888,3,20740,2180
re2,perf_phone,phone16,PASS,1,3760,167,11542,94443,PASS,1,OK,4216,385,28956,1957
tre,perf_phone,phone16,PASS,1,2268,49,12792,83857,PASS,1,OK,2268,51,13972,6985
slre,perf_phone,phone16,PASS,1,40,0,0,0,FAIL,0,FAIL,3036,0,0,0
tiny-regex-c,perf_phone,phone16,PASS,1,44,0,0,0,FAIL,0,FAIL,113,0,0,0
subreg,perf_phone,phone16,PASS,1,32,0,0,0,FAIL,0,FAIL,236,0,0,0
rele,perf_phone,phone32,PASS,1,336,1,573,4799,PASS,1,OK,268,3,669,16882
libc,perf_phone,phone32,PASS,1,1236,88,5744,0,FAIL,0,FAIL,15288,115,9260,0
newlib,perf_phone,phone32,PASS,1,616,16,3832,0,FAIL,0,FAIL,604,16,3832,0
pcre2,perf_phone,phone32,PASS,1,18888,2,260,7241,PASS,1,OK,18888,3,20740,4705
re2,perf_phone,phone32,PASS,1,3760,167,11542,96166,PASS,1,OK,4216,390,29376,2079
tre,perf_phone,phone32,PASS,1,2268,49,12792,84371,PASS,1,OK,2268,51,13972,9378
slre,perf_phone,phone32,PASS,1,40,0,0,0,FAIL,0,FAIL,3036,0,0,0
tiny-regex-c,perf_phone,phone32,PASS,1,44,0,0,0,FAIL,0,FAIL,113,0,0,0
subreg,perf_phone,phone32,PASS,1,32,0,0,0,FAIL,0,FAIL,236,0,0,0
rele,perf_phone,phone64,PASS,1,336,1,573,4779,PASS,1,OK,268,3,669,29913
libc,perf_phone,phone64,PASS,1,1236,88,5744,0,FAIL,0,FAIL,15288,115,9260,0
newlib,perf_phone,phone64,PASS,1,616,16,3832,0,FAIL,0,FAIL,536,16,3832,0
pcre2,perf_phone,phone64,PASS,1,18888,2,260,7245,PASS,1,OK,18888,3,20740,4993
re2,perf_phone,phone64,PASS,1,3760,167,11542,95405,PASS,1,OK,4216,389,29256,2242
tre,perf_phone,phone64,PASS,1,2268,49,12792,85245,PASS,1,OK,2268,51,13972,13429
slre,perf_phone,phone64,PASS,1,40,0,0,0,FAIL,0,FAIL,3036,0,0,0
tiny-regex-c,perf_phone,phone64,PASS,1,44,0,0,0,FAIL,0,FAIL,113,0,0,0
subreg,perf_phone,phone64,PASS,1,32,0,0,0,FAIL,0,FAIL,236,0,0,0
rele,perf_phone,phone128,PASS,1,336,1,573,4902,PASS,1,OK,280,3,669,57707
libc,perf_phone,phone128,PASS,1,1236,88,5744,0,FAIL,0,FAIL,15288,115,9260,0
newlib,perf_phone,phone128,PASS,1,616,16,3832,0,FAIL,0,FAIL,604,16,3832,0
pcre2,perf_phone,phone128,PASS,1,18888,2,260,7240,PASS,1,OK,18888,3,20740,9761
re2,perf_phone,phone128,PASS,1,3760,167,11542,95059,PASS,1,OK,4216,388,29316,2611
tre,perf_phone,phone128,PASS,1,2268,49,12792,83710,PASS,1,OK,2268,51,13972,21804
slre,perf_phone,phone128,PASS,1,40,0,0,0,FAIL,0,FAIL,3036,0,0,0
tiny-regex-c,perf_phone,phone128,PASS,1,44,0,0,0,FAIL,0,FAIL,113,0,0,0
subreg,perf_phone,phone128,PASS,1,32,0,0,0,FAIL,0,FAIL,236,0,0,0
rele,perf_phone,phone256,PASS,1,336,1,573,4897,PASS,1,OK,268,3,669,104764
libc,perf_phone,phone256,PASS,1,1236,88,5744,0,FAIL,0,FAIL,15288,115,9260,0
newlib,perf_phone,phone256,PASS,1,616,16,3832,0,FAIL,0,FAIL,604,16,3832,0
pcre2,perf_phone,phone256,PASS,1,18888,2,260,7195,PASS,1,OK,18888,3,20740,12166
re2,perf_phone,phone256,PASS,1,3760,167,11542,95283,PASS,1,OK,4216,392,29616,3337
tre,perf_phone,phone256,PASS,1,2268,49,12792,83747,PASS,1,OK,2268,51,13972,37563
slre,perf_phone,phone256,PASS,1,40,0,0,0,FAIL,0,FAIL,3036,0,0,0
tiny-regex-c,perf_phone,phone256,PASS,1,44,0,0,0,FAIL,0,FAIL,113,0,0,0
subreg,perf_phone,phone256,PASS,1,32,0,0,0,FAIL,0,FAIL,236,0,0,0
rele,perf_phone,phone512,PASS,1,336,1,573,4931,PASS,1,OK,280,3,669,217037
libc,perf_phone,phone512,PASS,1,1236,88,5744,0,FAIL,0,FAIL,15288,122,10368,0
newlib,perf_phone,phone512,PASS,1,616,16,3832,0,FAIL,0,FAIL,616,16,3832,0
pcre2,perf_phone,phone512,PASS,1,18888,2,260,7249,PASS,1,OK,18888,3,20740,29792
re2,perf_phone,phone512,PASS,1,3760,167,11542,94012,PASS,1,OK,4216,397,30040,4813
tre,perf_phone,phone512,PASS,1,2268,49,12792,84033,PASS,1,OK,2268,51,13972,71323
slre,perf_phone,phone512,PASS,1,40,0,0,0,FAIL,0,FAIL,3036,0,0,0
tiny-regex-c,perf_phone,phone512,PASS,1,44,0,0,0,FAIL,0,FAIL,113,0,0,0
subreg,perf_phone,phone512,PASS,1,32,0,0,0,FAIL,0,FAIL,236,0,0,0
rele,perf_phone,phone1k,PASS,1,336,1,573,5005,PASS,1,OK,280,3,669,426572
libc,perf_phone,phone1k,PASS,1,1236,88,5744,0,FAIL,0,FAIL,15288,115,9260,0
newlib,perf_phone,phone1k,PASS,1,616,16,3832,0,FAIL,0,FAIL,616,16,3832,0
pcre2,perf_phone,phone1k,PASS,1,18888,2,260,7249,PASS,1,OK,18888,3,20740,57126
re2,perf_phone,phone1k,PASS,1,3760,167,11542,94038,PASS,1,OK,4216,392,29616,7747
tre,perf_phone,phone1k,PASS,1,2268,49,12792,84343,PASS,1,OK,2268,51,13972,135106
slre,perf_phone,phone1k,PASS,1,40,0,0,0,FAIL,0,FAIL,3036,0,0,0
tiny-regex-c,perf_phone,phone1k,PASS,1,44,0,0,0,FAIL,0,FAIL,113,0,0,0
subreg,perf_phone,phone1k,PASS,1,32,0,0,0,FAIL,0,FAIL,236,0,0,0
