engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_time
rele,perf_setnomatch,setnomatch8,PASS,1,268,1,235,2947,PASS,0,FAIL,252,2,267,442
libc,perf_setnomatch,setnomatch8,PASS,1,748,50,4784,16522,PASS,0,FAIL,15276,64,7000,628
newlib,perf_setnomatch,setnomatch8,PASS,1,368,9,2314,12785,PASS,0,FAIL,368,9,2314,224
pcre2,perf_setnomatch,setnomatch8,PASS,1,18744,2,285,6924,PASS,0,FAIL,18744,3,20765,312
re2,perf_setnomatch,setnomatch8,PASS,1,3740,71,14584,73835,PASS,0,FAIL,4216,122,22050,804
tre,perf_setnomatch,setnomatch8,PASS,1,1300,41,13628,73022,PASS,0,FAIL,1300,43,14624,2794
slre,perf_setnomatch,setnomatch8,PASS,1,40,0,0,298,PASS,0,FAIL,2940,0,0,5150
tiny-regex-c,perf_setnomatch,setnomatch8,PASS,1,44,0,0,672,PASS,0,FAIL,136,0,0,1275
subreg,perf_setnomatch,setnomatch8,PASS,1,32,0,0,242,PASS,0,FAIL,148,0,0,383
rele,perf_setnomatch,setnomatch16,PASS,1,208,1,235,3010,PASS,0,FAIL,208,1,235,277
libc,perf_setnomatch,setnomatch16,PASS,1,760,50,4784,16866,PASS,0,FAIL,760,50,4784,513
newlib,perf_setnomatch,setnomatch16,PASS,1,368,9,2314,13116,PASS,0,FAIL,368,9,2314,233
pcre2,perf_setnomatch,setnomatch16,PASS,1,18744,2,285,6955,PASS,0,FAIL,18744,3,20765,345
re2,perf_setnomatch,setnomatch16,PASS,1,3752,71,14584,72709,PASS,0,FAIL,4216,121,21794,791
tre,perf_setnomatch,setnomatch16,PASS,1,1300,41,13628,73646,PASS,0,FAIL,1300,43,14624,4140
slre,perf_setnomatch,setnomatch16,PASS,1,40,0,0,294,PASS,0,FAIL,2940,0,0,8109
tiny-regex-c,perf_setnomatch,setnomatch16,PASS,1,44,0,0,663,PASS,0,FAIL,136,0,0,2266
subreg,perf_setnomatch,setnomatch16,PASS,1,32,0,0,233,PASS,0,FAIL,148,0,0,382
rele,perf_setnomatch,setnomatch32,PASS,1,208,1,235,2946,PASS,0,FAIL,208,2,267,526
libc,perf_setnomatch,setnomatch32,PASS,1,760,50,4784,17002,PASS,0,FAIL,15276,64,7000,709
newlib,perf_setnomatch,setnomatch32,PASS,1,368,9,2314,13150,PASS,0,FAIL,368,9,2314,261
pcre2,perf_setnomatch,setnomatch32,PASS,1,18744,2,285,6967,PASS,0,FAIL,18744,3,20765,371
re2,perf_setnomatch,setnomatch32,PASS,1,3752,71,14584,73003,PASS,0,FAIL,4216,121,21794,816
tre,perf_setnomatch,setnomatch32,PASS,1,1300,41,13628,73347,PASS,0,FAIL,1300,43,14624,6996
slre,perf_setnomatch,setnomatch32,PASS,1,40,0,0,303,PASS,0,FAIL,2940,0,0,14800
tiny-regex-c,perf_setnomatch,setnomatch32,PASS,1,44,0,0,685,PASS,0,FAIL,136,0,0,4366
subreg,perf_setnomatch,setnomatch32,PASS,1,32,0,0,243,PASS,0,FAIL,148,0,0,384
rele,perf_setnomatch,setnomatch64,PASS,1,208,1,235,3047,PASS,0,FAIL,208,2,267,864
libc,perf_setnomatch,setnomatch64,PASS,1,760,50,4784,16866,PASS,0,FAIL,15276,64,7000,1009
newlib,perf_setnomatch,setnomatch64,PASS,1,368,9,2314,13041,PASS,0,FAIL,368,9,2314,289
