engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_time
rele,real_world,digitsequence,PASS,1,260,1,133,782,PASS,1,OK,260,4,229,1100
libc,real_world,digitsequence,PASS,1,748,21,1740,0,FAIL,0,FAIL,808,21,1740,0
newlib,real_world,digitsequence,PASS,1,372,5,413,0,FAIL,0,FAIL,372,5,413,0
pcre2,real_world,digitsequence,PASS,1,18744,2,201,2028,PASS,1,OK,18744,3,20681,578
re2,real_world,digitsequence,PASS,1,3648,48,3576,18400,PASS,1,OK,4216,131,8010,1371
tre,real_world,digitsequence,PASS,1,2268,24,3992,15144,PASS,1,OK,2268,26,4092,1263
slre,real_world,digitsequence,PASS,1,40,0,0,248,PASS,1,OK,2980,0,0,2345
tiny-regex-c,real_world,digitsequence,PASS,1,44,0,0,237,PASS,1,OK,192,0,0,663
subreg,real_world,digitsequence,PASS,1,32,0,0,0,FAIL,0,FAIL,276,0,0,0
rele,real_world,hexbyte,PASS,1,272,1,149,913,PASS,1,OK,200,2,181,542
libc,real_world,hexbyte,PASS,1,808,20,2352,7574,PASS,1,OK,15288,35,5592,601
newlib,real_world,hexbyte,PASS,1,380,6,931,12582,PASS,1,OK,380,7,947,2047
pcre2,real_world,hexbyte,PASS,1,18744,2,237,3129,PASS,1,OK,18744,3,20717,580
re2,real_world,hexbyte,PASS,1,3648,62,4848,28319,PASS,1,OK,4216,150,9702,1331
tre,real_world,hexbyte,PASS,1,1264,32,7928,20476,PASS,1,OK,1264,34,8188,1429
slre,real_world,hexbyte,PASS,1,40,0,0,0,FAIL,0,FAIL,2908,0,0,0
tiny-regex-c,real_world,hexbyte,PASS,1,44,0,0,0,FAIL,0,FAIL,136,0,0,0
subreg,real_world,hexbyte,PASS,1,32,0,0,0,FAIL,0,FAIL,279,0,0,0
rele,real_world,decimalnumber,PASS,1,260,1,273,1739,PASS,1,OK,200,4,393,1669
libc,real_world,decimalnumber,PASS,1,1096,51,2728,0,FAIL,0,FAIL,1096,52,2776,0
newlib,real_world,decimalnumber,PASS,1,388,4,477,0,FAIL,0,FAIL,388,4,477,0
pcre2,real_world,decimalnumber,PASS,1,18744,2,222,3783,PASS,1,OK,18744,3,20702,855
re2,real_world,decimalnumber,PASS,1,3648,77,4856,37204,PASS,1,OK,4216,179,10990,1580
tre,real_world,decimalnumber,PASS,1,2268,31,5508,30860,PASS,1,OK,2268,33,5712,1797
slre,real_world,decimalnumber,PASS,1,40,0,0,257,PASS,1,OK,3300,0,0,4203
tiny-regex-c,real_world,decimalnumber,PASS,1,44,0,0,0,FAIL,0,FAIL,177,0,0,0
subreg,real_world,decimalnumber,PASS,1,32,0,0,0,FAIL,0,FAIL,276,0,0,0
rele,real_world,identifier,PASS,1,200,1,189,1137,PASS,1,OK,200,4,285,1750
libc,real_world,identifier,PASS,1,820,26,2408,9794,PASS,1,OK,15288,38,4648,722
newlib,real_world,identifier,PASS,1,368,5,843,0,FAIL,1,FAIL,448,6,859,0
pcre2,real_world,identifier,PASS,1,18744,2,234,3260,PASS,1,OK,18744,3,20714,636
re2,real_world,identifier,PASS,1,3648,75,4982,35342,PASS,1,OK,4216,169,10486,1402
tre,real_world,identifier,PASS,1,2268,34,8796,34012,PASS,1,OK,2268,36,9088,3744
slre,real_world,identifier,PASS,1,40,0,0,0,FAIL,0,FAIL,2580,0,0,0
tiny-regex-c,real_world,identifier,PASS,1,44,0,0,318,PASS,1,OK,192,0,0,748
subreg,real_world,identifier,PASS,1,32,0,0,0,FAIL,0,FAIL,279,0,0,0
rele,real_world,ipaddress,PASS,1,260,1,433,3292,PASS,1,OK,200,3,497,2532
libc,real_world,ipaddress,PASS,1,760,56,5176,0,FAIL,0,FAIL,760,56,5176,0
newlib,real_world,ipaddress,PASS,1,536,12,2566,0,FAIL,0,FAIL,536,12,2566,0
